store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,gift_message_available,limited_stock,length,width,height,brand,manufacturer,shipping_length,shipping_width,shipping_height,capacity,short_name,special_shipping,special_price_case_qty,map,power_consumption,product_weight,compatible_products,warranty,status,visibility,enable_googlecheckout,inchoo_bestselling_product,new_product,description,short_description,meta_keyword,custom_layout_update,description_specs,description_related,description_addon_title,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,price,special_price,weight,color,tax_class_id,special_from_date,special_to_date,msrp_enabled,msrp_display_actual_price_type,msrp,is_recurring,product_help_units,product_help_cases,product_help_intro1,product_help_intro2,product_help_happy,product_help_unhappy1,product_help_unhappy2,associated,_associated_sku,Normal_Quantity_1,Normal_Price_1,Normal_Quantity_2,Normal_Price_2,Normal_Quantity_3,Normal_Price_3,Normal_Quantity_4,Normal_Price_4,Normal_Quantity_5,Normal_Price_5
admin,base,Default,grouped,"73,74,134,135",AES-MAXCHILL,1,Max Chill Titanium Aquarium Chiller with Controller,Max Chill Titanium Aquarium Chiller by AquaEuro,"AquaEuroUSA Max Chill Titanium Aquarium Chiller offers great performance at an affordable price, is durable, reliable, easy to setup and use, and features quiet operation, corrosion resistance, a removable, easy to clean filter and a built-in temperature ",/A/E/AES0005_1_4hp_maxchill_titanium_20.jpg,/A/E/AES0005_1_4hp_maxchill_titanium_20.jpg,/A/E/AES0005_1_4hp_maxchill_titanium_20.jpg,,max-chill-titanium-aquarium-chiller-with-controller,max-chill-titanium-aquarium-chiller-with-controller.html,,No layout updates,Block after Info Column,,,, ,No,0,,,,AquaEuroUSA,AquaEuroUSA,,,,,,,,,,,,1 Year Manufacturer's Limited Warranty,Enabled,"Catalog, Search",No,No,No,"Aqua Euro Max Chill Titanium Aquarium Chiller with Controller<br /><br /><strong>Product Highlights:</strong><br />- Great Performance at an Affordable Price: Cools as well as many higher-priced chiller brands.<br />- Easy to Set-Up &amp; Use: includes fittings and instruction guide.<br />- Durable &amp; Reliable: Built from high quality components.<br />- Quiet Operation: Rubber mounts reduce vibration.<br />- Corrosion Resistant: Titanium heat exchanger is corrosion resistant and safe for both saltwater and freshwater aquariums.<br />- Environmentally Friendly: Uses DuPont R134a ozone friendly coolant.<br /><br /><strong>Product Features:</strong><br />- Built-in temperature controller with digital display.<br />- Removable, easy to clean filter.","Energy efficient chiller offers great performance at an affordable price. Durable, reliable, easy to setup and use, and quiet.",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Max Chill Titanium Aquarium Chiller with Controller,0,grouped,,,,,,,,,,,,,,,,,,,,,"AES0001,AES0003,AES0005,AES0007,AES0009","AES0001,AES0003,AES0005,AES0007,AES0009",,,,,,,,,,
admin,base,Default,simple,,AES0001,1,1/13 HP Max Chill Titanium Aquarium Chiller with Controller,1/13 HP Max Chill Titanium Aquarium Chiller by AquaEuro,"AquaEuroUSA Max Chill Titanium Aquarium Chiller offers great performance at an affordable price, is durable, reliable, easy to setup and use, and features quiet operation, corrosion resistance, a removable, easy to clean filter and a built-in temperature ",/A/E/AES0001_1_13hp_maxchill_titanium_10.jpg,/A/E/AES0001_1_13hp_maxchill_titanium_10.jpg,/A/E/AES0001_1_13hp_maxchill_titanium_10.jpg,,1-13-hp-max-chill-titanium-aquarium-chiller-with-controller,1-13-hp-max-chill-titanium-aquarium-chiller-with-controller.html,,,Block after Info Column,,,,,,2,13.3,8.5,16.5,AquaEuroUSA,AquaEuroUSA,16.2,11.5,17.1,Up to 50 gallons,1/13 HP,,,,176W,21,,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,,,"Aqua Euro 1/13 HP Max Chill Titanium Aquarium Chiller with Controller<br /><br /><strong>Product Highlights:</strong><br />- Great Performance at an Affordable Price: Cools as well as many higher-priced chiller brands.<br />- Easy to Set-Up &amp; Use: includes fittings and instruction guide.<br />- Durable &amp; Reliable: Built from high quality components.<br />- Quiet Operation: Rubber mounts reduce vibration.<br />- Corrosion Resistant: Titanium heat exchanger is corrosion resistant and safe for both saltwater and freshwater aquariums.<br />- Environmentally Friendly: Uses DuPont R134a ozone friendly coolant.<br /><br /><strong>Product Features:</strong><br />- Built-in temperature controller with digital display.<br />- Removable, easy to clean filter.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Tank Size: Up to 50 gallons.<br />- Heat Removal Capacity: Approximately 800 BTU.<br />- Recommend Water Flow: 160 &ndash; 290 gallons per hour.<br />- Power Consumption: Approximately 176 Watts (1.6A/110V).<br />- Weight: 21 lbs.",Unavailable,,,<ul><li>Heat Removal Capacity: Approximately 800 BTU</li><li>Recommend Water Flow: 160-290 gallons per hour</li></ul>,,,,,,,0,0,1,0,0,1,1,1,0,1,1,3/26/2013 16:32,,1,0,1,0,1,0,1,0,0,0,1,1/13 HP Max Chill Titanium Aquarium Chiller with Controller,0,simple,,,499.95,,21,,None,,,,,,,,,,,,,,,,1,292.95,,,,,,,,
admin,base,Default,simple,,AES0003,1,1/10 HP Max Chill Titanium Aquarium Chiller with Controller,1/10 HP Max Chill Titanium Aquarium Chiller by AquaEuro,"AquaEuroUSA Max Chill Titanium Aquarium Chiller offers great performance at an affordable price, is durable, reliable, easy to setup and use, and features quiet operation, corrosion resistance, a removable, easy to clean filter and a built-in temperature ",/A/E/AES0003_1_10hp_maxchill_titanium_10.jpg,/A/E/AES0003_1_10hp_maxchill_titanium_10.jpg,/A/E/AES0003_1_10hp_maxchill_titanium_10.jpg,,1-10-hp-max-chill-titanium-aquarium-chiller-with-controller,1-10-hp-max-chill-titanium-aquarium-chiller-with-controller.html,,,Block after Info Column,,,,,,2,16.5,9.8,19,AquaEuroUSA,AquaEuroUSA,19.3,12.8,19.3,Up to 80 gallons,1/10 HP,,,,242W,33,,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,,,"Aqua Euro 1/10 HP Max Chill Titanium Aquarium Chiller with Controller<br /><br /><strong>Product Highlights:</strong><br />- Great Performance at an Affordable Price: Cools as well as many higher-priced chiller brands.<br />- Easy to Set-Up &amp; Use: includes fittings and instruction guide.<br />- Durable &amp; Reliable: Built from high quality components.<br />- Quiet Operation: Rubber mounts reduce vibration.<br />- Corrosion Resistant: Titanium heat exchanger is corrosion resistant and safe for both saltwater and freshwater aquariums.<br />- Environmentally Friendly: Uses DuPont R134a ozone friendly coolant.<br /><br /><strong>Product Features:</strong><br />- Built-in temperature controller with digital display.<br />- Removable, easy to clean filter.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Tank Size: Up to 80 gallons.<br />- Heat Removal Capacity: Approximately 1485 BTU.<br />- Recommend Water Flow: 200 - 315 gallons per hour.<br />- Power Consumption: Approximately 242 Watts (2.2A/110V).<br />- Weight: 33 lbs.",Unavailable,,,<ul><li>Heat Removal Capacity: Approximately 1485 BTU</li><li>Recommend Water Flow: 200-315 gallons per hour</li></ul>,,,,,,,0,0,1,0,0,1,1,1,0,1,1,3/26/2013 16:32,,1,0,1,0,1,0,1,0,0,0,1,1/10 HP Max Chill Titanium Aquarium Chiller with Controller,0,simple,,,529.95,,33,,None,,,,,,,,,,,,,,,,1,304.95,,,,,,,,
admin,base,Default,simple,,AES0005,1,1/4 HP Max Chill Titanium Aquarium Chiller with Controller,1/4 HP Max Chill Titanium Aquarium Chiller by AquaEuro,"AquaEuroUSA Max Chill Titanium Aquarium Chiller offers great performance at an affordable price, is durable, reliable, easy to setup and use, and features quiet operation, corrosion resistance, a removable, easy to clean filter and a built-in temperature ",/A/E/AES0005_1_4hp_maxchill_titanium_21.jpg,/A/E/AES0005_1_4hp_maxchill_titanium_21.jpg,/A/E/AES0005_1_4hp_maxchill_titanium_21.jpg,,1-4-hp-max-chill-titanium-aquarium-chiller-with-controller,1-4-hp-max-chill-titanium-aquarium-chiller-with-controller.html,,,Block after Info Column,,,,,,2,17.7,13,21,AquaEuroUSA,AquaEuroUSA,20.5,20.5,20,Up to 175 gallons,1/4 HP,,,,330W,42,,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,,,"Aqua Euro 1/4 HP Max Chill Titanium Aquarium Chiller with Controller<br /><br /><strong>Product Highlights:</strong><br />- Great Performance at an Affordable Price: Cools as well as many higher-priced chiller brands.<br />- Easy to Set-Up &amp; Use: includes fittings and instruction guide.<br />- Durable &amp; Reliable: Built from high quality components.<br />- Quiet Operation: Rubber mounts reduce vibration.<br />- Corrosion Resistant: Titanium heat exchanger is corrosion resistant and safe for both saltwater and freshwater aquariums.<br />- Environmentally Friendly: Uses DuPont R134a ozone friendly coolant.<br /><br /><strong>Product Features:</strong><br />- Built-in temperature controller with digital display.<br />- Removable, easy to clean filter.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Tank Size: Up to 175 gallons.<br />- Heat Removal Capacity: Approximately 3200 BTU.<br />- Recommend Water Flow: 290 - 660 gallons per hour.<br />- Power Consumption: Approximately 330 Watts (3.0A/110V).<br />- Weight: 42 lbs.",Unavailable,,,<ul><li>Heat Removal Capacity: Approximately 3200 BTU</li><li>Recommend Water Flow: 290-660 gallons per hour</li></ul>,,,,,,,0,0,1,0,0,1,1,1,0,1,1,3/26/2013 16:32,,1,0,1,0,1,0,1,0,0,0,1,1/4 HP Max Chill Titanium Aquarium Chiller with Controller,0,simple,,,719.95,,42,,None,,,,,,,,,,,,,,,,1,427.95,,,,,,,,
admin,base,Default,simple,,AES0007,1,1/2 HP Max Chill Titanium Aquarium Chiller with Controller,1/2 HP Max Chill Titanium Aquarium Chiller by AquaEuro,"AquaEuroUSA Max Chill Titanium Aquarium Chiller offers great performance at an affordable price, is durable, reliable, easy to setup and use, and features quiet operation, corrosion resistance, a removable, easy to clean filter and a built-in temperature ",/A/E/AES0007_1_2hp_maxchill_titanium_10.jpg,/A/E/AES0007_1_2hp_maxchill_titanium_10.jpg,/A/E/AES0007_1_2hp_maxchill_titanium_10.jpg,,1-2-hp-max-chill-titanium-aquarium-chiller-with-controller,1-2-hp-max-chill-titanium-aquarium-chiller-with-controller.html,,,Block after Info Column,,,,,,2,18.7,14.2,24,AquaEuroUSA,AquaEuroUSA,22.1,21.1,23,Up to 3200 gallons,1/2 HP,,,,484W,49,,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,,,"Aqua Euro 1/2 HP Max Chill Titanium Aquarium Chiller with Controller<br /><br /><strong>Product Highlights:</strong><br />- Great Performance at an Affordable Price: Cools as well as many higher-priced chiller brands.<br />- Easy to Set-Up &amp; Use: includes fittings and instruction guide.<br />- Durable &amp; Reliable: Built from high quality components.<br />- Quiet Operation: Rubber mounts reduce vibration.<br />- Corrosion Resistant: Titanium heat exchanger is corrosion resistant and safe for both saltwater and freshwater aquariums.<br />- Environmentally Friendly: Uses DuPont R134a ozone friendly coolant.<br /><br /><strong>Product Features:</strong><br />- Built-in temperature controller with digital display.<br />- Removable, easy to clean filter.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Tank Size: Up to 320 gallons.<br />- Heat Removal Capacity: Approximately 6800 BTU.<br />- Recommend Water Flow: 315 &ndash; 795 gallons per hour.<br />- Power Consumption: Approximately 484 Watts (4.4A/110V).<br />- Weight: 49 lbs.",Unavailable,,,<ul><li>Heat Removal Capacity: Approximately 6800 BTU</li><li>Recommend Water Flow: 315-795 gallons per hour</li></ul>,,,,,,,0,0,1,0,0,1,1,1,0,1,1,3/26/2013 16:32,,1,0,1,0,1,0,1,0,0,0,1,1/2 HP Max Chill Titanium Aquarium Chiller with Controller,0,simple,,,999.95,,49,,None,,,,,,,,,,,,,,,,1,658.95,,,,,,,,
admin,base,Default,simple,,AES0009,1,1 HP Max Chill Titanium Aquarium Chiller with Controller,1 HP Max Chill Titanium Aquarium Chiller by AquaEuro,"AquaEuroUSA Max Chill Titanium Aquarium Chiller offers great performance at an affordable price, is durable, reliable, easy to setup and use, and features quiet operation, corrosion resistance, a removable, easy to clean filter and a built-in temperature ",/A/E/AES0009_1hp_maxchill_titanium_10.jpg,/A/E/AES0009_1hp_maxchill_titanium_10.jpg,/A/E/AES0009_1hp_maxchill_titanium_10.jpg,,1-hp-max-chill-titanium-aquarium-chiller-with-controller,1-hp-max-chill-titanium-aquarium-chiller-with-controller.html,,No layout updates,Block after Info Column,,,, ,No,2,20.5,15.8,24,AquaEuroUSA,AquaEuroUSA,24,21.1,24,Up to 700 gallons,1 HP,,,,1056W,70,,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,No,No,"Aqua Euro 1 HP Max Chill Titanium Aquarium Chiller with Controller<br /><br /><strong>Product Highlights:</strong><br />- Great Performance at an Affordable Price: Cools as well as many higher-priced chiller brands.<br />- Easy to Set-Up &amp; Use: includes fittings and instruction guide.<br />- Durable &amp; Reliable: Built from high quality components.<br />- Quiet Operation: Rubber mounts reduce vibration.<br />- Corrosion Resistant: Titanium heat exchanger is corrosion resistant and safe for both saltwater and freshwater aquariums.<br />- Environmentally Friendly: Uses DuPont R134a ozone friendly coolant.<br /><br /><strong>Product Features:</strong><br />- Built-in temperature controller with digital display.<br />- Removable, easy to clean filter.<br />- Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>Specifications:</strong><br />- Tank Size: Up to 700 gallons.<br />- Heat Removal Capacity: Approximately 10050 BTU.<br />- Recommend Water Flow: 400 - 1057 gallons per hour.<br />- Power Consumption: Approximately 1056 Watts (9.6A/110V).<br />- Weight: 70 lbs. <br />- Must ship on a pallet via common carrier. Cannot be shipped by UPS or FedEx.",Unavailable,,,<ul><li>Heat Removal Capacity: Approximately 10050 BTU</li><li>Recommend Water Flow: 400-1057 gallons per hour</li></ul><p>Must ship on a pallet via common carrier. Cannot be shipped by UPS or FedEx.</p>,,,,,,,0,0,1,0,0,1,1,1,0,1,1,4/26/2013 7:11,,1,0,1,0,1,0,1,0,0,0,1,1 HP Max Chill Titanium Aquarium Chiller with Controller,0,simple,,,1299.95,,70,,None,,,Use config,Use config,,No,,,,,,,,,,1,844.95,,,,,,,,
