store,websites,attribute_set,type,sku,Wholesale,price,Normal,mptp_cat_id,mptp_update_status,bundle_attributes,bundle_attribute_products,config_attributes,assort,upsell,crosssell
admin,base,Default,simple,ATI1101,13.25,19.95,19.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1103,14.25,20.95,20.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1105,15.25,21.95,21.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1107,17.25,23.95,23.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1109,12.25,18.95,18.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1111,13.25,19.95,19.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1113,14.25,20.95,20.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1115,16.25,22.95,22.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1117,13.25,19.95,19.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1119,14.25,20.95,20.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1121,15.25,21.95,21.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1123,17.25,23.95,23.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1125,13.25,19.95,19.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1127,14.25,20.95,20.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1129,15.25,21.95,21.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1131,17.25,23.95,23.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1133,13.25,19.95,19.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1135,14.25,20.95,20.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1137,15.25,21.95,21.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,ATI1139,17.25,23.95,23.95,ATIT5BULBS,,,,,,,
admin,base,Default,simple,AI3001,390,499,499,AIMODULES,,,,,,,
admin,base,Default,simple,AI3003,390,499,499,AIMODULES,,,,,,,
admin,base,Default,simple,AI3005,390,499,499,AIMODULES,,,,,,,
admin,base,Default,simple,AI3007,390,499,499,AIMODULES,,,,,,,
admin,base,Default,simple,AI3009,63.96,79.95,79.95,,,,,,,,
admin,base,Default,simple,AI1059,18.71,24.95,24.95,,,,,,,,
admin,base,Default,simple,AI1061 ,,29.95,,,,,,,,,
admin,base,Default,simple,AI1063,26.21,34.95,34.95,,,,,,,,
admin,base,Default,simple,AI1065 ,,24.95,,,,,,,,,
admin,base,Default,simple,AI1067,22.46,29.95,29.95,,,,,,,,
admin,base,Default,simple,AI1069 ,,34.95,,,,,,,,,
admin,base,Default,simple,AI1071 ,,64.95,,,,,,,,,
admin,base,Default,simple,AI1073 ,,64.95,,,,,,,,,
admin,base,Default,simple,AI1075,26.21,34.95,34.95,,,,,,,,
admin,base,Default,grouped,ATI-AQUABLUESPECIAL,,,,ATIT5BULBS,,,,,,,
admin,base,Default,grouped,ATI-BLUEPLUS,,,,ATIT5BULBS,,,,,,,
admin,base,Default,grouped,ATI-TRUEACTINIC,,,,ATIT5BULBS,,,,,,,
admin,base,Default,grouped,ATI-PURPLEPLUS,,,,ATIT5BULBS,,,,,,,
admin,base,Default,grouped,ATI-CORALPLUS,,,,ATIT5BULBS,,,,,,,
admin,base,Default,grouped,AI-EXTRAIL,,,,,,,,,,,
admin,base,Default,grouped,AI-EXTTANKMOUNT,,,,,,,,,,,
admin,base,Default,grouped,AI-VEGACOLOR,,,,,,,,,,,
admin,base,Default,grouped,AI-VEGABLUE,,,,,,,,,,,
admin,base,Default,simple,XX0001,3.95,4.95,4.95,,,,,,,,
admin,base,Default,simple,XX0005,11.95,16.95,16.95,,,,,,,,
admin,base,Default,simple,VS0001,5.5,9.95,9.95,,,,,,,,
admin,base,Default,simple,CV4001,3.5,4.95,4.95,,,,,,,,
admin,base,Default,grouped,ETM-ESUPGRADEKIT,,,,,,,,,,,
admin,base,Default,simple,ETM0103,6.95,10.95,10.95,,,,,,,,
admin,base,Default,simple,ETM0200,141.95,169.95,169.95,,,,,,,,
admin,base,Default,simple,ETM0201,76.95,92.95,92.95,,,,,,,,
admin,base,Default,simple,ETM0203,47.95,61.95,61.95,,,,,,,,
admin,base,Default,grouped,ETM-FOAMCOVER,,,,,,,,,,,
admin,base,Default,simple,ETM0204,11.95,14.95,14.95,,,,,,,,
admin,base,Default,simple,ETM0205,9.95,11.95,11.95,,,,,,,,
admin,base,Default,simple,ETM0207,9.95,11.95,11.95,,,,,,,,
admin,base,Default,simple,NEP0021,235.95,249.95,249.95,,,,,,,,
admin,base,Default,simple,NEP0023,117.95,124.95,124.95,,,,,,,,
admin,base,Default,simple,NEP0025,188.95,199.95,199.95,,,,,,,,
admin,base,Default,simple,NEP0026,295.95,369.95,369.95,,,,,,,,
admin,base,Default,simple,NEP0029,175.95,219.95,219.95,,,,,,,,
admin,base,Default,simple,NEP0031,399.95,499.95,499.95,,,,,,,,
admin,base,Default,simple,NEP0033,419.95,524.95,524.95,,,,,,,,
admin,base,Default,simple,NEP0101,35.95,44.95,44.95,,,,,,,,
admin,base,Default,simple,NEP0103,55.95,69.95,69.95,,,,,,,,
admin,base,Default,simple,NEP0105,51.95,64.95,64.95,,,,,,,,
admin,base,Default,simple,NEP0107,67.95,84.95,84.95,,,,,,,,
admin,base,Default,simple,NEP0111,24.95,29.95,29.95,,,,,,,,
admin,base,Default,simple,NEP0117,99.95,124.95,124.95,,,,,,,,
admin,base,Default,simple,NEP0119,488.95,499.95,499.95,,,,,,,,
admin,base,Default,simple,NEP0123,32.95,39.95,39.95,,,,,,,,
admin,base,Default,simple,NEP0143,65.95,69.95,69.95,,,,,,,,
admin,base,Default,simple,NEP0145,67.95,84.95,84.95,,,,,,,,
admin,base,Default,simple,NEP0147,67.95,84.95,84.95,,,,,,,,
admin,base,Default,simple,NEP0149,89.95,94.95,94.95,,,,,,,,
admin,base,Default,simple,NEP0151,99.95,124.95,124.95,,,,,,,,
admin,base,Default,simple,NEP0153,79.95,99.95,99.95,,,,,,,,
admin,base,Default,simple,NEP0155,15.95,17.95,17.95,,,,,,,,
admin,base,Default,simple,NEP0165,41.95,49.95,49.95,,,,,,,,
admin,base,Default,grouped,NEP-LSMLED,,,,,,,,,,,
admin,base,Default,simple,NEP0167,24.95,29.95,29.95,,,,,,,,
admin,base,Default,simple,NEP0169,32.95,39.95,39.95,,,,,,,,
admin,base,Default,simple,NEP0171,41.95,49.95,49.95,,,,,,,,
admin,base,Default,simple,NEP0173,49.95,59.95,59.95,,,,,,,,
admin,base,Default,simple,NEP0175,62.95,74.95,74.95,,,,,,,,
admin,base,Default,simple,NEP0177,24.95,29.95,29.95,,,,,,,,
admin,base,Default,simple,NEP0179,24.95,29.95,29.95,,,,,,,,
admin,base,Default,simple,NEP0207,41.95,49.95,49.95,,,,,,,,
admin,base,Default,simple,NEP0211,10.95,11.95,11.95,,,,,,,,
admin,base,Default,simple,NEP0212,15.95,17.95,17.95,,,,,,,,
admin,base,Default,simple,NEP0213,127.95,159.95,159.95,,,,,,,,
admin,base,Default,simple,NEP0214,95.95,119.95,119.95,,,,,,,,
admin,base,Default,grouped,NEP-AQUABUSCABLE,,,,,,,,,,,
