store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,gift_message_available,limited_stock,length,width,height,brand,manufacturer,shipping_length,shipping_width,shipping_height,capacity,short_name,special_shipping,special_price_case_qty,map,power_consumption,product_weight,compatible_products,warranty,status,visibility,enable_googlecheckout,inchoo_bestselling_product,new_product,description,short_description,meta_keyword,custom_layout_update,description_specs,description_related,description_addon_title,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,price,special_price,weight,color,tax_class_id,special_from_date,special_to_date,msrp_enabled,msrp_display_actual_price_type,msrp,is_recurring,product_help_units,product_help_cases,product_help_intro1,product_help_intro2,product_help_happy,product_help_unhappy1,product_help_unhappy2,associated,_associated_sku,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price
admin,base,Default,simple,"78,82,86,157,161,165",NEP0175,1,Advanced Leak Detection Module (ALD),Advanced Leak Detection Module (ALD) by Neptune Systems,Neptune Systems Advanced Leak Detection Module (ALD),/n/e/neptune_ald_8.jpg,/n/e/neptune_ald_8.jpg,/n/e/neptune_ald_8.jpg,,advanced-leak-detection-module-ald,advanced-leak-detection-module-ald.html,,,Block after Info Column,,,,,,2,,,,Neptune Systems,Neptune Systems,,,,,,,,74.95,,0.6,"Neptune System Apex, Neptune System Apex Lite, Neptune System Apex Jr",1 Year Manufacturer's Limited Warranty,Enabled,"Catalog, Search",No,,,"Neptune Systems Advanced Leak Detection Module (ALD)<br /><br /><strong>Product Includes:</strong><br />- Advanced Leak Detection Module (ALD)<br />- Owner's Manual<br /><br /><strong>Product Specifications:</strong><br />- Capacity: Capable of supporting up to 4 detection probes<br />- Available Probe Types (Probes Sold Separately):<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Low Profile Probe for under carpets<br />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Solid Surface Probe for all other flat surfaces<br />- Warranty: 1-Year Manufacturer's Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Peace of Mind: Know at a moment's notice when a leak occurs. When configured properly the ALD will email or text at the moment a leak is detected.<br />2. Plug and Play: Automatically recognized by the Apex controller when installed.<br />3. Highly Reliable: Direct wired connection to the Apex system eliminates problems caused by noisy electronic ballasts and other equipment.<br />4. Universal Compatibility: Compatible with Apex, Apex Lite and Apex Jr systems.<br />5. Flexible Expansion: Built-In AquaBus ports allow for flexible and easy expansion.<br />6. Easy Software Upgrades: Download updates and new features directly from the web.",When configured properly the ALD will email or text at the moment a leak is detected. Capable of supporting up to 4 detection probes.,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,3/26/2013 15:18,,1,0,1,0,1,0,1,0,0,0,1,Advanced Leak Detection Module (ALD),0,simple,,,74.95,,1,,None,,,,,,,,,,,,,,,,all,1,1,62.96,all,1,74.95
,,,,,NEP0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,2,1,62.96,all,2,62.95
,,,,,NEP0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,0,74.95
,,,,,NEP0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
