store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,gift_message_available,limited_stock,length,width,height,brand,manufacturer,shipping_length,shipping_width,shipping_height,capacity,short_name,special_shipping,special_price_case_qty,map,power_consumption,product_weight,compatible_products,warranty,status,visibility,enable_googlecheckout,inchoo_bestselling_product,new_product,description,short_description,meta_keyword,custom_layout_update,description_specs,description_related,description_addon_title,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,price,special_price,weight,color,tax_class_id,special_from_date,special_to_date,msrp_enabled,msrp_display_actual_price_type,msrp,is_recurring,product_help_units,product_help_cases,product_help_intro1,product_help_intro2,product_help_happy,product_help_unhappy1,product_help_unhappy2,associated,_associated_sku,Normal_Quantity_1,Normal_Price_1,Normal_Quantity_2,Normal_Price_2,Normal_Quantity_3,Normal_Price_3,Normal_Quantity_4,Normal_Price_4,Normal_Quantity_5,Normal_Price_5
admin,base,Default,grouped,"92,131",ATI-BMPUMPSUPPORT,1,Rubber Pump Support for Bubble Master Pump,Rubber Pump Support for Bubble Master Pump by ATI,Rubber Pump Support for Bubble Master Pump,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,,rubber-pump-support-for-bubble-master-pump,rubber-pump-support-for-bubble-master-pump.html,,,Block after Info Column,,,,,,0,,,,ATI,ATI,,,,,,,,,,,,1 Year Manufacturer's Limited Warranty,,"Catalog, Search",No,,,ATI Rubber Pump Support for Bubble Master Pump,Rubber Pump Support for Bubble Master Pump,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Rubber Pump Support for Bubble Master Pump,0,grouped,,,,,,,,,,,,,,,,,,,,,"ATI0127,ATI0129","ATI0127,ATI0129",,,,,,,,,,
admin,base,Default,simple,,ATI0127,1,Rubber Pump Support for Bubble Master 200 Skimmer Pump,Rubber Pump Support for Bubble Master 200 Skimmer Pump by ATI,Rubber Pump Support for Bubble Master 200 Skimmer Pump,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,,rubber-pump-support-for-bubble-master-200-skimmer-pump,rubber-pump-support-for-bubble-master-200-skimmer-pump.html,,,Block after Info Column,,,,,,2,,,,ATI,ATI,,,,,Bubble Master Pump 200,,,5.95,,0.1,ATI Bubble Master 200,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,,,ATI Rubber Pump Support for Bubble Master 200 Skimmer Pump,Rubber Pump Support for Bubble Master 200 Skimmer Pump,,,,,,,,,,3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Rubber Pump Support for Bubble Master 200 Skimmer Pump,0,simple,,,5.95,,0.5,,None,,,,,,,,,,,,,,,,1,3.95,,,,,,,,
admin,base,Default,simple,,ATI0129,1,Rubber Pump Support for Bubble Master 250 & 300 Skimmer Pump,Rubber Pump Support for Bubble Master 250 & 300 Skimmer Pump by ATI,Rubber Pump Support for Bubble Master 250 & 300 Skimmer Pump,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,/a/t/ati_noimage.jpg,,rubber-pump-support-for-bubble-master-250-300-skimmer-pump,rubber-pump-support-for-bubble-master-250-300-skimmer-pump.html,,,Block after Info Column,,,,,,2,,,,ATI,ATI,,,,,Bubble Master Pump 250 & 300,,,5.95,,0.1,ATI Bubble Master 250,1 Year Manufacturer's Limited Warranty,Enabled,Not Visible Individually,No,,,ATI Rubber Pump Support for Bubble Master 250 & 300 Skimmer Pump,Rubber Pump Support for Bubble Master 250 & 300 Skimmer Pump,,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Rubber Pump Support for Bubble Master 250 & 300 Skimmer Pump,0,simple,,,5.95,,0.5,,None,,,,,,,,,,,,,,,,1,3.95,,,,,,,,
