"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","options_container","image_label","small_image_label","thumbnail_label","limited_stock","manufacturer","visibility","inchoo_bestselling_product","new_product","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","msrp_enabled","msrp_display_actual_price_type","price","special_price","weight","minimal_price","msrp","special_from_date","special_to_date","page_layout","country_of_manufacture","gift_message_available","length","width","height","brand","shipping_length","shipping_width","shipping_height","capacity","short_name","special_shipping","special_price_case_qty","map","power_consumption","product_weight","compatible_products","warranty","product_help_units","product_help_cases","status","enable_googlecheckout","description_specs","description_related","description_addon_title","product_help_intro1","product_help_intro2","product_help_happy","product_help_unhappy1","product_help_unhappy2","tax_class_id","is_recurring","custom_design","color"
"admin","base","Default","grouped","73","123","0","testing","","","","","","","testing","testing.html","Block after Info Column","","","","50","","Not Visible Individually","No","No","testing","testing","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","testing","0","grouped","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","73","123-12","0","test","","","","","","","test","test.html","Block after Info Column","","","","50","","Not Visible Individually","No","No","test","test","","","","","","","12.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","test","0","simple","","","Use config","Use config","12.0000","","12.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","73","123-16","0","test1","","","","","","","test1","test1.html","Block after Info Column","","","","50","","Not Visible Individually","No","No","test","test","","","","","","","12.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","test1","0","simple","","","Use config","Use config","12.0000","","12.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","73","123-17","0","test2","","","","","","","test2","test2.html","Block after Info Column","","","","50","","Not Visible Individually","No","No","test","test","","","","","","","12.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","test2","0","simple","","","Use config","Use config","12.0000","","12.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","73","123-18","0","test3","","","","","","","test3","test3.html","Block after Info Column","","","","50","","Not Visible Individually","No","No","test","test","","","","","","","12.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","test3","0","simple","","","Use config","Use config","12.0000","","12.0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"admin","base","Default","grouped","43,48,49,115,124,125","ATISunPower","1","ATI SunPower High-Output T5 Fixture","","","/a/t/ati_sunpower_6_bulb_kit_27_1_6.jpg","/a/t/ati_sunpower_6_bulb_kit_27_1_6.jpg","/a/t/ati_sunpower_6_bulb_kit_27_1_6.jpg","/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg","ati-sunpower-high-output-t5-fixture","ati-sunpower-high-output-t5-fixture.html","Block after Info Column","","","","0","ATI","Catalog, Search","No","No","<p>A favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. We'd be proud to have this fixture hanging over any tank. And we're confident you will be too.</p><h1>Unbeatable Performance</h1><p>Superior design and high-end components produce 50% more light than most equally-sized T5 fixtures. An active cooling system allows bulbs to run at a more optimal temperature, improving both bulb output and bulb life.</p><h1>Contemporary Design</h1><p>The slim, silver colored body is lightweight, durable, rust-proof and just 2.1 inches high. All components, including the T5 ballasts, are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, two power cords, and an AC/DC adapter to power the fans.</p><h1>Independent Lamp Control</h1><p>Wired with two bulbs on one power cord and remaining bulbs on the other, allowing for independent control and dawn/dusk simulation.</p><h1>Energy Efficient</h1><p>Produces up to 50% more light than most other equally-sized T5 fixtures, without using more energy.</p><h1>Quiet, Cool Operation</h1><p>Runs cool and produces virtually no noise.</p>","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ATI SunPower High-Output T5 Fixture","0","grouped","","","","","","","","","","","","No layout updates"," ","No","","","","ATI","","","","","","","","","","","CSV content of this field will be displayed here.","1 Year Manufacturer's","","","Enabled","Yes","","","","","","","","","","","",""
"admin","base","Default","simple","","ATI3001","1","ATI 24"" 4x24W SunPower High-Output T5 Fixture","","","/a/t/ati_sunpower_6_bulb_kit_28_6.jpg","/a/t/ati_sunpower_6_bulb_kit_28_6.jpg","/a/t/ati_sunpower_6_bulb_kit_28_6.jpg","/ati/ati_sunpower_4_bulb_kit.jpg,/ati/ati_sunpower_4_bulb_underside.jpg","ati-24-4x24w-sunpower-high-output-t5-fixture","ati-24-4x24w-sunpower-high-output-t5-fixture.html","Block after Info Column","","","","2","ATI","Catalog, Search","","","ATI 24&quot; 4x24W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 1 fan, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 50 gallons, mixed reef tanks up to 40 gallons and SPS dominated tanks up to 30 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 96 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","","","","","","","2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","ATI 24"" 4x24W SunPower High-Output T5 Fixture","0","simple","","","","","354.9500","","14.0000","","","","","","","","23.1","9.4","2.1","ATI","28","18","8","20-50 gallons","24"" 4x24W","","","354.95","","13","","1 Year Manufacturer's","","","Enabled","Yes","","","","","","","","","Taxable Goods","","",""
"admin","base","Default","simple","","ATI3003","1","ATI 24"" 6x24W SunPower High-Output T5 Fixture","","","/a/t/ati_sunpower_6_bulb_kit_29_1_6.jpg","/a/t/ati_sunpower_6_bulb_kit_29_1_6.jpg","/a/t/ati_sunpower_6_bulb_kit_29_1_6.jpg","/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg","ati-24-6x24w-sunpower-high-output-t5-fixture","ati-24-6x24w-sunpower-high-output-t5-fixture.html","Block after Info Column","","","","2","ATI","Catalog, Search","","","ATI 24&quot; 6x24W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 70 gallons, mixed reef tanks up to 60 gallons and SPS dominated tanks up to 50 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 144 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","ATI 24"" 6x24W SunPower High-Output T5 Fixture","0","simple","","","","","409.9500","","14.0000","","","","","","","","23.1","13.4","2.1","ATI","28","18","8","30-70 gallons","24"" 6x24W","","","409.95","","16","","1 Year Manufacturer's","","","Enabled","Yes","","","","","","","","","Taxable Goods","","",""
"admin","base","Default","simple","","ATI3004","1","ATI 24"" 8x24W SunPower High-Output T5 Fixture","","","/a/t/ati_sunpower_6_bulb_kit_30_1_6.jpg","/a/t/ati_sunpower_6_bulb_kit_30_1_6.jpg","/a/t/ati_sunpower_6_bulb_kit_30_1_6.jpg","/ati/ati_sunpower_6_bulb_kit.jpg,/ati/ati_sunpower_6_bulb_underside.jpg","ati-24-8x24w-sunpower-high-output-t5-fixture","ati-24-8x24w-sunpower-high-output-t5-fixture.html","Block after Info Column","","","","2","ATI","Catalog, Search","","","ATI 24&quot; 8x24W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 2 fans, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 95 gallons, mixed reef tanks up to 75 gallons and SPS dominated tanks up to 60 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 192 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","","","","","","","4.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","ATI 24"" 8x24W SunPower High-Output T5 Fixture","0","simple","","","","","499.9500","","17.0000","","","","","","","","23.1","17.5","2.1","ATI","28","22","8","40-100 gallons","24"" 8x24W","","","499.95","","21","","1 Year Manufacturer's","","","Enabled","Yes","","","","","","","","","Taxable Goods","","",""
"admin","base","Default","simple","","ATI3005","1","ATI 36"" 4x39W SunPower High-Output T5 Fixture","","","/a/t/ati_sunpower_6_bulb_kit_31_6.jpg","/a/t/ati_sunpower_6_bulb_kit_31_6.jpg","/a/t/ati_sunpower_6_bulb_kit_31_6.jpg","/ati/ati_sunpower_4_bulb_kit.jpg,/ati/ati_sunpower_4_bulb_underside.jpg","ati-36-4x39w-sunpower-high-output-t5-fixture","ati-36-4x39w-sunpower-high-output-t5-fixture.html","Block after Info Column","","","","2","ATI","Catalog, Search","","","ATI 36&quot; 4x39W SunPower T5 High-Output Fixture complete with individual parabolic-style reflectors for each bulb made from silver-coated 98% reflective German-made aluminum, active cooling system w/ 1 fan, built-in electronic ballasts, acrylic shield, two 10 ft power-cords and a sleek, adjustable &quot;Grip-Lock&quot; style hanging kit. (Bulbs sold separately.)<br /><br />Common Sizing Guideline: soft coral tanks up to 80 gallons, mixed reef tanks up to 60 gallons and SPS dominated tanks up to 50 gallons. Recommended Tank Depth: up to 30&quot; with carefully planned placement of corals. Power Consumption: approximately 156 Watts. Warranty: 1-Year Manufacturer's Limited Warranty.<br /><br /><strong>1. Unbeatable Performance:</strong> Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br /><strong>2. Energy Efficient:</strong> Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><strong>3. Contemporary Design:</strong> Slim, silver colored body is lightweight, durable, rust-proof and just 2.1&quot; high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br /><strong>4. Independent Lamp Control:</strong> Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br /><strong>5. Quiet, Cool Operation:</strong> Runs cool and produces virtually no noise.","A favorite among hobbyists who want top-of-the-line performance at a lower cost. ","","","","","","","2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","ATI 36"" 4x39W SunPower High-Output T5 Fixture","0","simple","","","","","394.9500","","15.0000","","","","","","","","35","9.4","2.1","ATI","40","18","8","30-80 gallons","36"" 4x39W","","","394.95","","14","","1 Year Manufacturer's","","","Enabled","Yes","","","","","","","","","Taxable Goods","","",""
